ligne;code_trace;code_ligne;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;pmr;code_tri_ligne;nom_version;last_update;gid
2EX;2EX-2;2EX;Thurins Le Pont - Gorge de Loup;Retour;34108;10513;Le Pont;Gorge de Loup;BUS;20180101;;True;2EX;18 septembre 2024;2024-09-18 13:33:38+02:00;618
73E;73E-1;73E;Gorge de Loup - Brindas Centre;Aller;10513;10117;Gorge de Loup;Brindas Centre;BUS;20190701;;True;73E;18 septembre 2024;2024-09-18 13:33:38+02:00;619
73E;73E-2;73E;Brindas Centre - Gorge de Loup;Retour;10117;10513;Brindas Centre;Gorge de Loup;BUS;20190701;;True;73E;18 septembre 2024;2024-09-18 13:33:38+02:00;620
BGS1;BGS1-2;BGS1;Parc Olympique Lyonnais - Meyzieu les Panettes;Retour;34432;34433;Décines OL Vallée;Meyzieu les Panettes;BUS;20180101;;True;BGS1;18 septembre 2024;2024-09-18 13:33:38+02:00;826
52E;52E-2;52E;Bron Droits de l'Homme - Vaulx-en-Velin La Soie;Retour;11674;31760;Bron Droits de l'Homme;Vaulx-en-Velin La Soie;BUS;20230611;;False;52E;18 septembre 2024;2024-09-18 13:33:38+02:00;846
BGS2;BGS2-1;BGS2;Eurexpo - Parc Olympique Lyonnais;Aller;34431;34432;Eurexpo;Décines OL Vallée;BUS;20180101;;True;BGS2;18 septembre 2024;2024-09-18 13:33:38+02:00;827
BR60;BR60-4;99B;Perrache - Debourg;Aller;30977;20202;Perrache;Debourg;BUS;20180923;;False;BR60;18 septembre 2024;2024-09-18 13:33:38+02:00;858
C5;C5-4;C5A;Rillieux Semailles - Cordeliers;Retour;11225;10285;Rillieux Semailles;Cordeliers;BUS;20180101;;True;C  5;18 septembre 2024;2024-09-18 13:33:38+02:00;362
C24E;C24E-2;C24E;Gymnase E.Catalon - Gorge de Loup;Retour;33910;10513;Gymnase E. Catalon;Gorge de Loup;BUS;20190701;;True;C24E;18 septembre 2024;2024-09-18 13:33:38+02:00;410
C5;C5-3;C5A;Vancia Château Bérard - Cordeliers;Retour;31520;10285;Vancia Château Bérard;Cordeliers;BUS;20180101;;True;C  5;18 septembre 2024;2024-09-18 13:33:38+02:00;361
C6;C6-1;C6C;Gare Part-Dieu Vivier Merle - Campus Lyon Ouest;Aller;11064;33574;Gare Part-Dieu V.Merle;Campus Lyon Ouest;BUS;20300320;;True;C  6;18 septembre 2024;2024-09-18 13:33:38+02:00;363
C6;C6-2;C6C;Campus Lyon Ouest - Gare Part-Dieu Vivier Merle;Retour;33574;11064;Campus Lyon Ouest;Gare Part-Dieu V.Merle;BUS;20300320;;True;C  6;18 septembre 2024;2024-09-18 13:33:38+02:00;364
BRT1;BRT1-2;321A;IUT - Feyssine - Gare Part-Dieu V.Merle;Retour;31027;11064;IUT - Feyssine;Gare Part-Dieu V.Merle;BUS;20240306;;True;BRT1;18 septembre 2024;2024-09-18 13:33:38+02:00;879
C7;C7-1;C7B;Gare Part-Dieu Vivier Merle - St-Genis-Laval Hôpital Lyon Sud;Aller;11064;10565;Gare Part-Dieu V.Merle;St-Genis-Laval Hôp. Sud;BUS;20180101;;True;C  7;18 septembre 2024;2024-09-18 13:33:38+02:00;365
BR60;BR60-5;99B;Debourg - Perrache;Retour;20202;30977;Debourg;Perrache;BUS;20180923;;False;BR60;18 septembre 2024;2024-09-18 13:33:38+02:00;859
C11;C11-3;C11A;Saxe - Gambetta. - Laurent Bonnevay;Aller;33452;10716;Saxe - Gambetta.;Laurent Bonnevay;BUS;20240801;;True;C 11;18 septembre 2024;2024-09-18 13:33:38+02:00;862
C7;C7-2;C7B;St-Genis-Laval Hôpital Lyon Sud - Gare Part-Dieu Vivier Merle;Retour;10565;11064;St-Genis-Laval Hôp. Sud;Gare Part-Dieu V.Merle;BUS;20180101;;True;C  7;18 septembre 2024;2024-09-18 13:33:38+02:00;366
C8;C8-3;C8A;Grange Blanche - Vaulx - Resistance;Aller;10524;33413;Grange Blanche;Vaulx - Résistance;BUS;20240801;;True;C  8;18 septembre 2024;2024-09-18 13:33:38+02:00;860
C8;C8-4;C8A;Vaulx - Resistance - Grange Blanche;Retour;33413;10524;Vaulx - Résistance;Grange Blanche;BUS;20240801;;True;C  8;18 septembre 2024;2024-09-18 13:33:38+02:00;861
C4;C4-1;C4A;Jean Macé - Cité Internationale Centre de Congrès;Aller;10593;11792;Jean Macé;Cité Internationale;BUS;20180101;;True;C  4;18 septembre 2024;2024-09-18 13:33:38+02:00;357
C4;C4-2;C4A;Cité Internationale Centre de Congrès - Jean Macé;Retour;11792;10593;Cité Internationale;Jean Macé;BUS;20180101;;True;C  4;18 septembre 2024;2024-09-18 13:33:38+02:00;358
C10;C10-1;C10A;Bellecour Charité - St-Genis Barolles;Aller;10077;11303;Bellecour Charité;Saint-Genis Barolles;BUS;20180101;;True;C 10;18 septembre 2024;2024-09-18 13:33:38+02:00;371
C9;C9-2;C9A;Hôpitaux Est - Bellecour Antonin Poncet;Retour;33247;10075;Hôpitaux Est;Bellecour A. Poncet;BUS;20180101;;True;C  9;18 septembre 2024;2024-09-18 13:33:38+02:00;370
C5;C5-2;C5A;Cordeliers - Vancia Château Bérard;Aller;10285;31520;Cordeliers;Vancia Château Bérard;BUS;20180101;;True;C  5;18 septembre 2024;2024-09-18 13:33:38+02:00;359
C10;C10-4;C10A;Brignais Parc Birabent - Bellecour Charite;Retour;34645;10077;Brignais Parc Birabent;Bellecour Charité;BUS;20260824;;True;C 10;18 septembre 2024;2024-09-18 13:33:38+02:00;895
C9;C9-1;C9A;Bellecour Antonin Poncet - Hôpitaux Est;Aller;10075;33247;Bellecour A. Poncet;Hôpitaux Est;BUS;20180101;;True;C  9;18 septembre 2024;2024-09-18 13:33:38+02:00;369
C10;C10-2;C10A;St-Genis Barolles - Bellecour Charité;Retour;11303;10077;Saint-Genis Barolles;Bellecour Charité;BUS;20180101;;True;C 10;18 septembre 2024;2024-09-18 13:33:38+02:00;372
C11;C11-4;C11A;Laurent Bonnevay - Saxe - Gambetta.;Retour;10716;33452;Laurent Bonnevay;Saxe - Gambetta.;BUS;20240801;;True;C 11;18 septembre 2024;2024-09-18 13:33:38+02:00;863
C12;C12-1;C12A;Bellecour Antonin Poncet - Hôpital Feyzin Vénissieux;Aller;10075;32811;Bellecour A. Poncet;Hôp. Feyzin Vénissieux;BUS;20180101;;True;C 12;18 septembre 2024;2024-09-18 13:33:38+02:00;375
C12;C12-2;C12A;Hôpital Feyzin Vénissieux - Bellecour Antonin Poncet;Retour;32811;10075;Hôp. Feyzin Vénissieux;Bellecour A. Poncet;BUS;20180101;;True;C 12;18 septembre 2024;2024-09-18 13:33:38+02:00;376
C17;C17-6;C17A;Laurent Bonnevay - Charpennes Charles Hernu;Retour;10716;10204;Laurent Bonnevay;Charpennes Charles Hernu;BUS;20241103;;True;C 17;18 septembre 2024;2024-09-18 13:33:38+02:00;877
C13;C13-1;C13B;Grange Blanche - Montessuy Gutenberg;Aller;10524;10987;Grange Blanche;Montessuy Gutenberg;BUS;20260421;;True;C 13;18 septembre 2024;2024-09-18 13:33:38+02:00;377
C16;C16-1;C16A;Charpennes Charles Hernu - Surville Route de Vienne;Aller;10204;11369;Charpennes Charles Hernu;Surville Route de Vienne;BUS;20180101;;True;C 16;18 septembre 2024;2024-09-18 13:33:38+02:00;385
C13;C13-2;C13B;Montessuy Gutenberg - Grange Blanche;Retour;10987;10524;Montessuy Gutenberg;Grange Blanche;BUS;20260421;;True;C 13;18 septembre 2024;2024-09-18 13:33:38+02:00;378
C14;C14-1;C14A;Jean Macé - Les Sources;Aller;10593;10842;Jean Macé;Les Sources;BUS;20180101;;True;C 14;18 septembre 2024;2024-09-18 13:33:38+02:00;381
C16;C16-2;C16A;Surville Route de Vienne - Charpennes Charles Hernu;Retour;11369;10204;Surville Route de Vienne;Charpennes Charles Hernu;BUS;20180101;;True;C 16;18 septembre 2024;2024-09-18 13:33:38+02:00;386
C14;C14-2;C14A;Les Sources - Jean Macé;Retour;10842;10593;Les Sources;Jean Macé;BUS;20180101;;True;C 14;18 septembre 2024;2024-09-18 13:33:38+02:00;382
C15;C15-1;C15A;Bachut Mairie du 8e - Laurent Bonnevay;Aller;10052;10716;Bachut - Mairie du 8ème;Laurent Bonnevay;BUS;20180101;;True;C 15;18 septembre 2024;2024-09-18 13:33:38+02:00;703
C15;C15-2;C15A;Laurent Bonnevay - Bachut Mairie du 8e;Retour;10716;10052;Laurent Bonnevay;Bachut - Mairie du 8ème;BUS;20180101;;True;C 15;18 septembre 2024;2024-09-18 13:33:38+02:00;704
C17;C17-4;C17A;Laurent Bonnevay - Porte des Alpes;Aller;10716;20041;Laurent Bonnevay;Porte des Alpes;BUS;20241103;;True;C 17;18 septembre 2024;2024-09-18 13:33:38+02:00;874
C17;C17-5;C17A;Charpennes Ch. Hernu - Laurent Bonnevay;Aller;33460;10716;Charpennes Ch. Hernu;Laurent Bonnevay;BUS;20241103;;True;C 17;18 septembre 2024;2024-09-18 13:33:38+02:00;875
C17;C17-7;C17A;Porte des Alpes - Laurent Bonnevay;Retour;20041;10716;Porte des Alpes;Laurent Bonnevay;BUS;20241103;;True;C 17;18 septembre 2024;2024-09-18 13:33:38+02:00;876
C18;C18-1;C18A;Hôtel de Ville Louis Pradel - Croix-Rousse Nord;Aller;10568;30957;Hôtel de Ville L. Pradel;Croix-Rousse Nord;BUS;20180101;;True;C 18;18 septembre 2024;2024-09-18 13:33:38+02:00;389
C20;C20-1;C20D;Bellecour Le Viste - Francheville Taffignon;Aller;10080;10173;Bellecour Le Viste;Francheville Taffignon;BUS;20190701;;True;C 20;18 septembre 2024;2024-09-18 13:33:38+02:00;393
C20;C20-2;C20D;Francheville Taffignon - Bellecour Le Viste;Retour;10173;10080;Francheville Taffignon;Bellecour Le Viste;BUS;20190701;;True;C 20;18 septembre 2024;2024-09-18 13:33:38+02:00;394
C24E;C24E-1;C24E;Gorge de Loup - Gymnase E.Catalon;Aller;10513;33910;Gorge de Loup;Gymnase E. Catalon;BUS;20190701;;True;C24E;18 septembre 2024;2024-09-18 13:33:38+02:00;409
C21;C21-1;C21A;Perrache - Gorge de Loup;Aller;30977;10513;Perrache;Gorge de Loup;BUS;20180101;;True;C 21;18 septembre 2024;2024-09-18 13:33:38+02:00;395
C24;C24-1;C24D;Gorge de Loup - Gymnase E.Catalon;Aller;10513;33910;Gorge de Loup;Gymnase E. Catalon;BUS;20190701;;True;C 24;18 septembre 2024;2024-09-18 13:33:38+02:00;399
C24;C24-3;C24D;Gorge de Loup - Craponne Val d'Yzeron;Aller;10513;20307;Gorge de Loup;Craponne Val d'Yzeron;BUS;20190701;;True;C 24;18 septembre 2024;2024-09-18 13:33:38+02:00;400
C24;C24-2;C24D;Gymnase E.Catalon - Gorge de Loup;Retour;33910;10513;Gymnase E. Catalon;Gorge de Loup;BUS;20190701;;True;C 24;18 septembre 2024;2024-09-18 13:33:38+02:00;401
C26;C26-4;C26A;Grange Blanche - Cite Inter Transbordeur;Retour;10524;10387;Grange Blanche;Cité Inter Transbordeur;BUS;20240801;;True;C 26;18 septembre 2024;2024-09-18 13:33:38+02:00;865
C24;C24-4;C24D;Craponne Val d'Yzeron - Gorge de Loup;Retour;20307;10513;Craponne Val d'Yzeron;Gorge de Loup;BUS;20190701;;True;C 24;18 septembre 2024;2024-09-18 13:33:38+02:00;402
C6E;C6E-1;C6E;Gare de Vaise - Campus Lyon Ouest;Aller;10487;33574;Gare de Vaise-G.Collomb;Campus Lyon Ouest;BUS;20300320;;True;C 6E;18 septembre 2024;2024-09-18 13:33:38+02:00;748
C25;C25-1;C25B;Gare Part-Dieu Vivier Merle - St-Priest Plaine de Saythe / Sogaris - Promotrans;Aller;11064;30987;Gare Part-Dieu V.Merle;Sogaris - Promotrans;BUS;20180101;;True;C 25;18 septembre 2024;2024-09-18 13:33:38+02:00;403
C25;C25-2;C25B;Sogaris - Promotrans / St-Priest Plaine de Saythe  - Gare Part-Dieu Vivier Merle;Retour;30987;11064;Sogaris - Promotrans;Gare Part-Dieu V.Merle;BUS;20180101;;True;C 25;18 septembre 2024;2024-09-18 13:33:38+02:00;404
GE4;GE4-3;GE4A;La Tour de Salvagny Gare - Techlid Le Tronchon;Aller;30155;33790;La Tour de Salvagny Gare;Techlid Le Tronchon;BUS;20220301;;True;G E4;18 septembre 2024;2024-09-18 13:33:38+02:00;770
GE6;GE6-2;GE6B;Charbonnieres Gare - Charbonnieres Gare;Aller;30092;30092;Charbonnières Gare;Charbonnières Gare;BUS;20230201;;False;G E6;18 septembre 2024;2024-09-18 13:33:38+02:00;772
C6E;C6E-2;C6E;Campus Lyon Ouest - Gare de Vaise;Retour;33574;10487;Campus Lyon Ouest;Gare de Vaise-G.Collomb;BUS;20300320;;True;C 6E;18 septembre 2024;2024-09-18 13:33:38+02:00;749
GE1;GE1-2;GE1A;Rillieux Victor Hugo - Gare de Crepieux;Retour;34225;32720;Rillieux Victor Hugo;Gare de Crépieux;BUS;20290822;;False;G E1;18 septembre 2024;2024-09-18 13:33:38+02:00;798
