identifiant;gid;lon;lat
;1167;4,8158951;45,75745870001736
;1169;4,823911799999999;45,76939520001734
;1170;4,823783199999999;45,76933320001734
;1175;4,9039873480796805;45,81179224586844
;1176;4,903088808059695;45,81992184377507
;1177;4,909349083900452;45,822690169469844
;1178;4,9022331833839425;45,81448946909064
;1179;4,89336311817169;45,81695382517523
;1180;4,904676675796507;45,81826564254466
;1181;4,849330600000001;45,76067610001736
;1182;4,990311200000001;45,79213360001728
;1562;4,860160599999999;45,7471057000174
;572;4,712501799999998;45,81288310001721
G16410;573;4,887164850051097;45,74939723049626
G201075;574;4,840553321940607;45,875766343301514
G63756;575;4,895274138223556;45,66490196630403
G15335;576;4,865370603123961;45,75718907161272
;1563;4,8604441000000005;45,748644100017415
;578;4,896345899999999;45,70336260001753
;579;4,962565399999999;45,69304930001756
;580;4,8565348;45,77160150001735
G18200;581;4,836152304954317;45,77765906145408
G201055;582;4,841047168983638;45,76707674301218
;583;4,8141449;45,76098430001736
;1564;4,8668367;45,753546400017385
G63079;585;4,845350989805302;45,75589831533142
;1565;4,907062299999998;45,654189100017675
;1566;4,787392700000002;45,6841865000176
;588;4,776828600000002;45,77207370001733
;1567;4,817466799999999;45,73749950001743
;591;4,8544669;45,73784930001743
;592;4,876965800000001;45,765183700017346
;1569;4,862087000000001;45,75520240001738
;594;4,815267200000002;45,76326460001735
;595;4,830718700000001;45,775274800017336
G15211;596;4,8655414234315835;45,75157810221506
;597;4,7747576;45,58633250001786
;598;4,856959399999999;45,7823908000173
;599;4,954957400000001;45,74629580001741
G57859;600;4,834081605931168;45,770527673481084
;601;4,8226635;45,73126450001747
;602;4,848706047762979;45,79440947323528
;603;4,7798581;45,733602500017454
;1570;4,868035;45,7823361000173
;605;4,805540700000001;45,714828100017506
;606;4,854921100000002;45,741970000017425
;607;4,901246200000001;45,705642600017505
;608;4,7926391;45,694724200017575
;1571;4,8679383;45,7825293000173
;1572;4,8870351;45,748950800017404
;611;4,8039618;45,74123010001743
G201071;612;4,797212363867125;45,75625885222463
G16388;613;4,883603845679101;45,748571071513076
;1573;4,868144;45,78207840001732
;615;4,940553900000001;45,79894090001725
;616;4,823685829057519;45,79195532985958
;1574;4,866561159036688;45,82974751817043
;618;4,816781400000002;45,79026400001729
;619;4,7865398;45,70141920001754
;1575;4,87503668065147;45,824415915537955
G9739;621;4,909659657201499;45,735361146608234
;622;4,9697667;45,66129120001765
G13697;623;4,965171303155628;45,76288596093213
;624;4,815157100000001;45,74288710001742
;1576;4,8766338324881;45,827535439295794
;1577;4,875628572838259;45,82761737875462
G10225;625;4,827117155030618;45,75398164179276
G63754;626;4,942967863505805;45,69912360104992
G4279;627;4,834123730673371;45,76488315473451
;628;4,847270900333;45,79149360046863
;629;4,8390493999999995;45,87750780001703
;1578;4,866622880456665;45,82890080976612
;1579;4,872395080038808;45,82203921619553
G10143;632;4,831516308142182;45,761042654361844
;1580;4,872624559318474;45,822834363578245
;634;4,845922361739865;45,794978928443015
;635;4,897904099999999;45,71479050001749
G63755;636;4,9773053829824985;45,70650256924253
G201061;637;4,833459045473326;45,76764351538237
;1581;4,870370952059903;45,82447159317576
;639;4,852580000000001;45,77765630001732
;640;4,822487099999999;45,724637100017475
;641;4,9188979748930235;45,787990881897166
G201084;642;4,909984082345186;45,73389069909314
G16177;643;4,880660988131092;45,74804419502797
;644;4,779022400000001;45,72620310001748
G9719;645;4,919586713462136;45,74211535145119
G60049;647;4,7848422916845905;45,678629661743095
;648;4,9005179;45,67528210001761
G199578;649;4,981979087336596;45,76987075245772
G61214;650;4,818339069621656;45,731066546473144
;651;4,894700300000002;45,7163531000175
G201081;652;4,916957502355783;45,73720738622094
G60193;653;4,7239366433307195;45,74437128018775
;654;4,787714599999999;45,70068540001753
;655;4,845870299999998;45,75770830001737
G57251;656;4,8376697792469585;45,746804003299495
;658;4,773486000000001;45,76877790001735
G60126;660;4,757873064493221;45,76001830019874
G199892;663;4,805830448988986;45,747593852395305
;664;4,8047054000000005;45,69423240001756
G13885;665;4,956325434784933;45,76896768244961
;666;4,9344582;45,703491500017535
G18365;667;4,832674530345168;45,77606574561399
;668;4,9788220999999995;45,74958890001741
;671;4,839028599780649;45,789939300207806
;674;4,7197846;45,804598200017246
;675;4,937872699999998;45,696692500017555
;676;4,855208199999998;45,70395460001754
;677;4,8353147000000005;45,73802860001744
;678;4,8972997;45,714990200017496
;679;4,941049300000001;45,698324500017556
;681;4,797118300000001;45,81149610001722
;685;4,922763888564195;45,77758459093135
;686;4,8706375999999985;45,78246960001731
;687;4,8271728;45,89590210001698
;688;4,816307300000002;45,745177900017424
;690;4,8676587;45,7516377000174
G8527;691;4,836965345020386;45,74339493831297
;692;4,895452500000001;45,76027990001736
G57399;693;4,834457801033037;45,776740378727865
;694;4,834625799999998;45,865801100017066
;695;4,821305000000001;45,76879300001734
;696;4,828102999999999;45,74204920001741
;697;4,868104436529418;45,8020018346002
G54901;698;4,831741051661482;45,76803020228931
G201074;699;4,808412215041464;45,78050185550594
G897;700;4,838485331357436;45,75258975553404
G14989;701;4,857467392942419;45,75526119478026
;702;4,781565999999998;45,757178500017375
;703;4,895244000000001;45,76169110001735
;704;4,9413466;45,695644600017566
;706;4,900004700000002;45,71897650001748
;708;4,861034899999999;45,77713790001732
G4015;709;4,856474811673322;45,70716089628574
G6670;711;4,870625929922426;45,74406944033272
;714;4,893199500000001;45,718412700017495
;715;4,969725599999999;45,73592910001744
