identifiantbornefontaine;gid;lon;lat
G201204;1;4,841905127051559;45,773106408648566
G809;2;4,841755526312914;45,75251174535285
G201066;5;4,830403777795378;45,77506421095997
G63763;6;4,8229623224759335;45,83710747955307
G9150;7;4,8316410892913835;45,75500259521689
G11726;8;4,841161322358988;45,76021637320032
G63757;9;4,8604838362900145;45,673224869255655
G63753;10;4,855368485720043;45,66635947446318
G201143;12;4,862300947775235;45,76079906109985
G200212;13;4,803660339151854;45,73346314773605
G19983;14;4,822469956133615;45,773422112326934
G13697;15;4,965171303155627;45,762885960914765
G19013;16;4,811308398020483;45,771906492220914
G200576;17;4,9240559056364255;45,75289050374126
G59902;18;4,815077500853156;45,74279889572775
G4131;19;4,817551357041019;45,71807981028003
G21776;20;4,804285017567737;45,73536405866632
G9739;21;4,909659657201497;45,73536114659079
G21521;22;4,885814067985514;45,74999394499421
G201060;23;4,7715782733318886;45,83571928873389
G60186;24;4,870692122614896;45,69444548186821
G57859;25;4,834081605931167;45,77052767346375
G201055;26;4,841047168983637;45,767076742994846
G10272;27;4,834142395922729;45,76117144247209
G201080;28;4,918488118701822;45,7452445296944
G63760;29;4,818726096538773;45,86870797898066
G60193;30;4,7239366433307195;45,74437128017034
G9719;31;4,9195867134621345;45,742115351433775
G201342;32;4,834914548335151;45,77505727070344
G60140;33;4,805332795275594;45,73638568711135
G21546;34;4,893360706105863;45,75229741853834
G61214;35;4,818339069621654;45,731066546455686
G201203;36;5,010646940779641;45,76042868207259
G18095;37;4,83997054720312;45,77721263553909
G60135;38;4,79740675046656;45,7355989824388
G201092;39;4,820411531092978;45,7410911835905
G63766;40;4,937607258823126;45,691281067974806
G16119;41;4,8271639804579225;45,768884376529236
G18200;42;4,836152304954318;45,77765906143676
G21184;43;4,842035240633863;45,768821193441866
G61143;44;4,818944186073077;45,733436697060476
G201077;45;4,9474646258622075;45,76931787204718
G13954;46;4,957624777005968;45,76907791293542
G6429;47;4,8263461301237145;45,77387027918347
G201149;48;4,853821757333789;45,73431530527214
G59588;49;4,82550420439456;45,74736036000363
G201069;50;4,81241669903053;45,76148468801871
G16410;51;4,887164850051097;45,74939723047885
G59916;53;4,879086481831284;45,76628173415442
