nom;indiccanop;gid
Parc Municipal Elsa Triolet;0,65;843
;0,00;969
Promenade parc de Miribel;0,69;805
Rue du Lieutenant-Colonel Girard;0,44;806
Allée Yasser Arafat, Yitzhak Rabin et Shimon Peres;0,40;807
Square Capitaine Billon;0,67;808
Guillermin Terraillon;0,26;809
Parc François Mitterrand;0,01;810
Parc François Mitterrand;0,01;811
Parc François Mitterrand;0,01;812
Parc François Mitterrand;0,01;813
Rue de la République;0,78;814
Jardins impasse de la Thibaude;0,24;815
Rue de la Tase;0,00;816
Aire de jeux Philomène Rozan;0,00;817
Rue Georges Seguin;0,03;818
Place Béatrice Arzt;0,00;819
Jardin cours Eugénie;0,00;820
;0,55;871
Parc Nathalie Gautier;0,16;970
Fort de Bron;0,81;822
Vancia;0,86;823
Rue Louis Duclos;0,06;824
Confluence;0,00;825
Mas Dessous Montchat;0,18;840
Confluence;0,00;826
Rue Saint Théodore;0,04;827
Derrière Piscine de Vaise;0,79;828
Ruer Pesselière;0,01;829
Rue des Noyers;0,50;830
Jardin Roquette;0,00;831
Stade Edouard Aubert;0,06;832
Gymnase Jean-Jacques Rousseau;0,18;833
Parc des loustics;0,28;841
Square de Weissach;0,31;971
Chemin Montpellas;0,41;834
Square Diday;0,00;835
Parc de la passerelle;0,24;836
Boulevard de Balmont;0,63;837
Avenue Garibaldi;0,00;838
Quai Rambaud;0,00;839
;0,73;1003
Parc Municipal Elsa Triolet;0,65;844
;0,13;845
Square des Quatre Colonnes;0,00;846
Hippodrome de Lyon - Carré de Soie;0,01;847
Avenue Franklin Roosevelt;0,89;848
Parc Nelson Mandela;0,00;849
Rue Gandolière;0,99;850
Parc d'Ombreval;0,10;851
Square du 8 Mai 1945;0,54;852
Station Mue;0,03;853
;0,48;854
;0,68;855
Esplanade Jacques Chirac;0,52;872
;0,00;997
Pelouse des Humanités;0,13;856
Bois du Baron;0,00;857
;0,62;858
Parc du Rhône;0,72;859
Parc Lisbeth Bouquin;0,55;860
;0,03;861
;0,57;862
;0,77;863
Square Henri Frenay;0,51;864
;0,01;865
Rosa Parks;0,15;866
;0,17;867
;0,15;868
Square Spielberg;0,85;869
Parc des Pachottes;0,00;870
Square des Anciens Combattants d'Afrique du Nord;0,84;873
;0,00;874
Parc du Prieuré;0,00;875
;0,00;876
;0,48;877
Parc du Puy d'or;0,64;878
;0,00;879
;0,73;880
;0,08;881
;0,00;882
Parc Louis Pergaud;0,62;883
;0,45;884
;0,00;885
Aire de Skateboard;0,00;886
Parc de la Mairie;0,35;887
Jardin du Molliet;0,12;888
;0,14;889
;0,41;890
;0,21;891
;0,00;892
Square Général de Gaulle;0,51;893
;0,39;894
;0,72;895
;0,00;896
;0,17;902
;0,00;903
;0,00;904
;0,16;905
;0,11;906
;0,49;907
;0,00;908
;0,37;909
;0,17;910
;0,00;911
;0,30;912
;0,48;913
;0,07;914
;0,00;915
;0,00;916
Parc Vaclav-Havel;0,33;917
;0,63;918
Square Bernard Meunier;0,56;919
Square Lucien-Agnel;0,00;920
Jardin de Poche Bienvenus Perroncel;0,00;921
;0,00;922
Promenade de la gare;0,00;923
Parc Jacob-Hugentobler;0,20;924
;0,01;925
;0,00;926
Square Bufflier;0,38;927
;0,16;998
Prairie de la Berthaudière;0,13;928
Square Orsel;0,00;929
;0,34;930
Place Général Delfosse;0,50;931
;0,00;932
;0,00;933
;0,00;934
Pré au cheval;0,29;935
Place Camille Georges;0,00;936
;0,00;937
;0,00;938
;0,01;939
;0,00;940
;0,02;941
;0,53;942
Place de la Paix;0,00;943
Parc de Montvallon;0,41;944
Square Général Brosset;0,63;945
;0,20;999
Parc du Château;0,00;946
;0,06;947
Parc Normandie Niemen;0,54;948
;0,00;949
;0,93;950
;0,42;951
;0,12;952
;0,00;953
;0,00;954
;0,00;955
;0,00;956
;0,01;957
;0,07;958
;0,00;959
Square Les Floralies;0,57;960
;0,80;961
;0,00;962
;0,17;963
;0,15;964
;0,00;965
;0,00;966
;0,00;967
Parc municipal de Chassagne;0,00;972
;0,00;973
;0,16;974
;0,54;975
;0,02;976
Parc Dupoizat;0,28;977
Skate park;0,01;978
;0,49;979
;0,00;980
Square Ninon Vallin;0,45;981
Parc Bourchanin;0,29;982
;0,59;983
Parc public François Treyve;0,81;984
;0,33;985
;0,00;986
;0,16;987
;0,54;988
Square Huguette Bois;0,34;989
Square Henri Barbusse;0,19;990
;0,33;991
;0,53;992
Place Maréchal Joffre;0,46;993
;0,04;994
;0,07;995
;0,00;996
;0,97;1073
;0,38;1004
Parc de la Colandière;0,00;1005
;0,00;1006
;0,35;1007
Parc Réaux;0,00;1008
;0,00;1009
;0,00;1010
;0,10;1011
;0,28;1012
;0,77;1013
;0,73;1014
;0,05;1015
;0,60;1016
;0,84;1017
;0,69;1018
Parc République;0,51;1019
;0,30;1020
;0,03;1074
;0,12;1021
Parc de la Tourette;0,09;1022
Parc de la Tourette;0,09;1023
Square Félix Lebossé;0,79;1056
;0,00;1057
;0,01;1024
;0,31;1025
Parc du Château de Veynes;0,00;1026
;1,00;1027
;0,08;1028
;0,55;1029
Parc des Etangs de Mathan;0,97;1030
Place de la République;0,74;1031
;0,03;1032
;1,00;1033
Place d'Helvétie;0,57;1034
;0,00;1035
;0,48;1075
Parc Jourdan;0,00;1036
;0,00;1037
Parc du Fort;0,66;1038
Square Paul Claudel;0,27;1082
Parc du Château;0,37;1039
;0,34;1040
;0,34;1041
Place Saint-Alexandre;0,55;1042
Square Elie Vignal;0,95;1043
Parc Nelson Mandela;0,11;1044
Parc de Rajat;0,00;1045
Square de la Doua;0,73;1046
Parc des Trois Cerisiers;0,56;1047
Parc de l'Accueil;0,66;1048
Parc de l'Europe;0,59;1049
;0,17;1050
;0,39;1051
Parc du Fort de Meyzieu;0,98;1076
;0,04;1077
;0,81;1052
La roseraie de Montessuy;0,01;1053
Parc de la Maison des Champs;0,43;1054
Square Songieu;0,88;1055
;0,00;1058
;0,00;1059
;0,00;1060
;0,00;1061
;0,30;1062
;0,00;1063
Parc Bourlione;0,17;1064
;0,00;1065
Skate park;0,35;1066
Parc de la mairie;0,41;1067
Pelouse du Premier Cycle;0,32;1068
Jardin archéologique;0,00;1069
Place Edouard Herriot;0,38;1070
;0,37;1071
Square Antoine Foret;0,00;1072
;0,16;1078
;0,00;1079
;0,00;1080
;0,00;1081
;0,00;1083
;0,25;1084
;0,11;1085
;0,41;1086
;0,53;1087
;0,54;1088
;0,90;1089
Square des Justes;0,86;1090
Parc René Dumont;0,78;1091
;0,07;1092
Parc de l'Aqueduc;0,15;1093
Parc de la Commune de Paris;0,74;1094
Parc des Sports de la Terre des Lièvres;0,09;1095
Square Léon Meiss;0,64;1096
Parc du musée Gadagne;0,07;1097
Parc du Brûlet;0,54;1098
Jardin de poche des Poulettes;0,12;1099
;0,00;1100
Jardin Alfred Sauvy;0,31;1101
Square du Château;0,00;1102
City Aventure;1,00;1103
Place Jean Fleury Coponat;0,53;1104
Square Evariste Galois;0,34;1105
;0,14;1106
;0,45;1107
Eco-Parc;0,21;1108
;0,32;1109
Jardin de la Filature;0,08;1110
;0,00;1111
;0,35;1112
;0,41;1113
Paroisse Sainte-Thérèse;0,16;1114
;0,42;1115
;0,45;1116
;0,41;1117
;0,39;1118
;0,00;1119
;0,34;1120
;0,38;1121
Parc du Colombier;0,40;1122
Jardin des Mille Couleurs;0,55;1123
;0,87;1124
Parc Etienne Gagnaire;0,25;1125
Parc de la Pomme;0,55;1126
;0,34;1143
Parc de L'Atrium;0,30;1127
;0,00;1128
Jardins de l'Hôtel de ville;0,66;1129
;0,53;1130
Jardin de botanique de l'ISPB;0,72;1217
;0,37;1131
;0,68;1132
Parc de la Mairie;0,74;1133
Parc de Bel Air 1;0,21;1134
Square Jules Ferry;0,47;1135
;0,38;1136
Parc public de l'Etoile;0,77;1137
;0,00;1138
;0,00;1139
Place des Frères Voisin;0,00;1140
;0,04;1141
;0,54;1142
Parc Louis Dupic;0,62;1144
;0,00;1167
;0,00;1145
;0,60;1146
;0,16;1147
;0,23;1148
;0,84;1149
Square Edouard Herriot;0,45;1150
;0,00;1151
;0,45;1152
Pré des Castors;0,17;1153
;0,68;1154
;0,63;1155
;0,00;1156
Parc de Sanzy;0,82;1157
;0,00;1158
;0,68;1159
Parc de Loisirs Champvillard;0,28;1160
;0,33;1161
;0,00;1162
;0,00;1163
;0,00;1164
;0,00;1165
;0,00;1166
;0,02;1168
;0,00;1169
;0,00;1170
;0,00;1171
;0,00;1172
;0,00;1173
;0,06;1174
;0,75;1175
;0,00;1176
;0,36;1177
;0,24;1178
;0,26;1179
;0,56;1180
;0,20;1181
;0,40;1182
;0,06;1183
;0,33;1184
;0,62;1185
Parc Brignais;0,00;1186
Parc du Haut de la Combe;0,39;1187
Parc Bourrat;0,57;1188
;0,00;1189
;0,21;1190
;0,15;1215
;0,00;1191
;0,30;1192
;0,08;1193
;0,00;1194
;0,16;1195
Parc de la Roseraie;0,00;1196
Jardins de l'ENS;0,51;1197
Place Georges Salendre;0,13;1198
;0,31;1199
;0,22;1200
;0,03;1201
Square Général Pierre Robert de Saint-Vincent;0,34;1202
Cours extérieure du mirage;0,00;1203
;0,47;1204
;0,00;1205
;0,04;1206
;0,17;1207
;0,00;1208
;0,00;1209
;0,46;1210
Parc de la Mairie;0,51;1211
;0,86;1212
;1,00;1213
;0,56;1214
;0,00;1216
;0,07;1218
;0,27;1219
