nom;indiccanop;gid
Jardin de L'île Barbe;0,92;182
Jardin de l'île Barbe;0,98;183
Place Henri Barbusse;0,00;184
Place Henri Barbusse;0,15;185
Parc de la Mairie Annexe du 9e;0,91;186
Place de Saint Rambert;0,37;187
Parc Saint Rambert;0,38;188
Parc de Montpellas;0,74;189
Place Bernard Schonberg;0,00;190
Place du Forez;0,00;215
Parc de Grand Champ;0,56;191
Jardin Mur du Roc;0,92;192
Place Maurice Barriot;0,89;193
Jardin des Trois Gouttes;0,32;194
Square Paul Cazanne;0,55;195
Square Maurice Ravel;1,00;196
Square Pierre Puget;0,75;197
Place Auguste Gouverne;0,84;198
Place de la République;0,15;199
Place Chanoine Chatard;0,54;200
Square Eugène Varlin;0,14;474
Square du Vergoin;0,53;201
Place des Terreaux;0,00;202
Place de la Comédie;0,00;203
Place Tobie Robatel;0,44;204
Place saint Vincent;0,00;205
Place Tolozan;0,93;206
Place du Griffon;0,25;207
Square du Thou;0,00;208
Jardin Croix Paquet;0,83;209
Square de Villemanzy;0,34;210
Place Colbert;0,86;211
Place Chardonnet;0,98;212
Jardin Burdeau;0,00;213
Jardin Dalle Rozier;0,00;214
Place des Capucins;0,00;216
Jardin des Plantes;0,40;219
Jardin de la Grande Cpte;0,52;220
Square de l'Alma;0,52;221
Parc Sutter;0,70;222
Place Morel;0,47;223
Jardin Morel;0,47;224
Square Soeur Louise;0,00;225
Jardin Close Saint Benoit;0,00;226
Place Rouville;0,54;227
Place Port de Neuville;0,97;228
Square Saint-Vincent;0,90;229
Jardin de la Butte;0,91;230
Place des Chartreux;0,96;231
Square Carquillat;0,24;232
Square Roger Duplat;0,71;233
Place Serin;0,74;234
Square Hugues Limonti;0,77;503
Place Michel Servet;0,00;235
Place Chazette;0,00;236
Jardin Bodin Magneval;0,55;237
Square de Vaucansson;0,37;238
Jardin aux simples;0,00;239
Jardin B.Frangin Dejean;0,88;240
Jardin B.Frangin Dejean;0,97;241
Place Tabareau;0,75;242
Place Millaud;0,84;243
Place des Tapis;0,07;244
Place de la Croix-Rousse;0,28;245
Esplanade du Gros Caillou;0,07;246
Esplanade du Gros Caillou;0,14;247
Jardin Francis Deswarte;0,74;248
Place Saint Jacques;0,12;249
Place Bertone;1,00;250
Jardin Guylaine Gouzou-Testud;0,00;251
Jardin Clos Carret;0,13;252
Place Croix de Bois;0,00;253
Place Flammarion;0,68;254
Place Picard;0,94;255
Parc Francis Popy;0,65;256
Place Emilie Chanel;0,79;257
Parc Villa Chazière;0,48;258
Voie Verte Garibaldi;0,42;504
Petit Parc Serin;0,60;259
Place Adrien Godien;0,00;260
Jardin Saint Eucher;1,00;261
Jardin de la Boucle;0,22;262
Square Niel;0,00;263
Square Polnard;0,78;264
Place du Commandant Arnaud;0,60;265
Place Mattelon;0,91;266
Place Joannes Ambre;0,08;267
Jardin Rosa Mir;0,20;268
Place Edouard Charret;0,24;269
Square Bouvier;0,78;270
Square Gustave Auguste Ferrié;0,81;271
Jardin d'Ypres;0,88;272
Square Ninon Vallin;0,72;273
Bois de la Caille;0,99;274
Place Jules Ferry;0,48;275
Place Laurent Bonnevay;0,48;277
Place Laurent Bonnevay;0,32;278
Place Laurent Bonnevay;0,18;279
Square Jean Corbel;0,70;282
Voie de la Dombes;0,25;283
Voie de la Dombes;0,12;284
Voie de la Dombes;0,97;285
Voie de la Dombes;0,67;286
Voie Verte Garibaldi;0,97;505
Parc de la Jeunesse;0,70;280
Parc de la Jeunesse;0,83;281
Place de Crépieux;0,26;299
Place du traitre de Romes;0,00;300
Voie Verte Léopold Sédar Senghor;0,00;301
Voie Verte Garibaldi;0,83;506
Voie de la Dombes;0,48;287
Voie de la Dombes;0,52;288
Voie de la Dombes;0,81;289
Voie de la Dombes;0,77;290
Square jean Pellet;0,30;291
Place Christophe Colomb;0,93;292
Place Valentin Hauy;0,41;293
Place Gutenberg;0,15;294
Place Louis Braille;0,02;295
Place du Docteur Frederic Dugoujon;0,15;296
Place de l'Eglise;0,00;297
Square André Lassagne;0,34;298
Voie Verte Léopold Sédar Senghor;0,00;302
Place Jean de Verrazane;0,03;303
Square Nadaud Leclerc;0,38;304
Square des 44 enfants d'Izieu;0,00;305
Square Jules Guesde;0,10;306
Parc Clos Layat;0,06;307
Parc du Moulin e Vent;0,00;308
Place Julien Duret;0,47;309
Place Ennemond Romand;0,58;310
Place Ennemond Romand;0,27;311
Jardin de Pressensé;0,09;312
Place des Anciens Combattants;0,96;313
Jardin René et Madeleine Caille;0,46;314
Place du 8 Mai 1945;0,26;315
Square des Amariques;0,00;316
Square Renée Mayoud Visconti;0,42;317
Jardin Viviani;0,04;318
Square Serpollieres;0,34;319
Square Picod;0,07;320
Square Normandie-Niemen;0,31;321
Square du 14e Zouave;0,71;322
Place Louis Lebret;0,27;323
Jardin du Presbytère;0,48;324
Place Professeur Joseph Renault;0,00;361
Place Belleville;0,38;325
Parc Léon Pfeffer;0,65;326
Square benoit Bernard;0,00;327
Jardin Chollat;0,73;328
Place Mendès France;0,00;329
Place du 11 Novembre 1918;0,34;330
Square Varichon;0,45;331
Jardin du Corps Expeditionnaire Français en Italie;0,34;332
Promenade Juliette Guillot;0,00;333
Promenade Juliette Guillot;0,00;334
Place Général André;0,59;335
Jardin Marie Ducher;0,61;336
Square Michaud;0,02;337
Jardin Jean Mermoz;0,32;338
Place André Latarjet;0,30;339
Square de l'Agora;0,43;340
Place Leon Sublet;0,24;341
Place Leon Sublet;0,26;342
Place Jules Grandclement;0,04;343
Square Jean XXIII;0,69;362
Jardin Promenade Léa et Napoléon Bullukian;0,22;363
Jardin Cazeneuve;0,14;344
Place Louis Jouvet;0,77;345
Square Laurent Bonneway;0,75;346
Square Martin Luther King;0,00;347
Square Caroline Aigle;0,34;348
Place Sangnier;0,76;349
Place Julie Daubié;0,57;350
Jardin Genton;0,61;351
Jardin du Combattant d'Indochine;0,41;352
Jardin Antoine Perrin;0,80;353
Square Adolphe Lafont;0,34;354
Square Thomas Blanchet;1,00;355
Square Jean de Torcy;0,46;356
Square Jean de Torcy;0,47;357
Square du Transvaal;0,45;358
Jardin Bargoin;0,40;359
Square Professeur Morat;0,19;360
