ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
21;21-10;21A;ZI;Limonest Cimetiere - Gare de Vaise via Echangeur Sans Souci;Retour;10860;10487;Limonest Cimetière;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;21;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.604493+02:00;459
21;21-4;21A;NOM;St-Germain Gare - Gare de Vaise;Retour;11313;10487;St Germain Gare;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;21;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.605789+02:00;461
98;98-5;98G;NOM;Gorge de Loup - Sain-Bel Gare;Aller;10513;34710;Gorge de Loup;Sain-Bel Gare;BUS;20260824;;REG;Régulière;True;98;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.706365+02:00;883
98;98-3;98G;NOM;Gorge de Loup - Ecole Veterinaire;Aller;10513;10393;Gorge de Loup;Ecole Vétérinaire;BUS;20260824;;REG;Régulière;True;98;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.707074+02:00;882
98;98-6;98G;NOM;Sain-Bel Gare - Gorge de Loup;Retour;34710;10513;Sain-Bel Gare;Gorge de Loup;BUS;20260824;;REG;Régulière;True;98;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.707685+02:00;884
21;21-5;21A;NOM;Limonest Cimetiere - Gare de Vaise;Retour;10860;10487;Limonest Cimetière;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;21;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.606926+02:00;458
10E;10E-2;10E;EXP;Porte de Lyon - Gare de Vaise;Retour;11147;10487;Porte de Lyon;Gare de Vaise-G.Collomb;BUS;20160420;;REG;Régulière;True;10E;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.709801+02:00;745
22;22-1;22A;NOM;Gare de Vaise - St Fortunat;Aller;10487;11301;Gare de Vaise-G.Collomb;St Fortunat;BUS;20180101;;REG;Régulière;True;22;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.608312+02:00;463
22;22-2;22A;NOM;St Fortunat - Gare de Vaise;Retour;11301;10487;St Fortunat;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;22;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.609293+02:00;464
23;23-1;23A;NOM;Gare de Vaise - Rocade des Monts d'Or;Aller;10487;31930;Gare de Vaise-G.Collomb;Rocade des Monts d'Or;BUS;20180101;;REG;Régulière;True;23;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.609990+02:00;465
23;23-2;23A;NOM;Rocade des Monts d'Or - Gare de Vaise;Retour;31930;10487;Rocade des Monts d'Or;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;23;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.610664+02:00;466
24;24-1;24A;NOM;Grange Blanche - Sept Chemins;Aller;10524;11269;Grange Blanche;Sept Chemins;BUS;20180101;;REG;Régulière;True;24;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.611459+02:00;467
24;24-2;24A;NOM;Sept Chemins - Grange Blanche;Retour;11269;10524;Sept Chemins;Grange Blanche;BUS;20180101;;REG;Régulière;True;24;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.612292+02:00;468
25;25-1;25A;NOM;Gare Part-Dieu Vivier Merle - Sept Chemins;Aller;11064;11269;Gare Part-Dieu V.Merle;Sept Chemins;BUS;20180101;;REG;Régulière;True;25;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.612920+02:00;469
28;28-3;28A;NOM;Meyzieu Z.i. - Vaulx-en-Velin La Soie;Aller;31620;31760;Meyzieu Z.i.;Vaulx-en-Velin La Soie;BUS;20190209;;REG;Régulière;True;28;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.616620+02:00;715
ZI4;ZI4-2;ZI4A;NOM;Caluire Chemin Petit - Vaulx-en-Velin La Soie;Retour;10228;31760;Caluire Chemin Petit;Vaulx-en-Velin La Soie;BUS;20180101;;REG;Régulière;True;Z I4;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.828982+02:00;668
BGS4;BGS4-3;BGS4;NOM;Vaulx-en-Velin La Soie - Gymnase Becquerel;Aller;31760;34442;Vaulx-en-Velin La Soie;Gymnase Becquerel;BUS;20240923;;EVE;Evènementielle;True;BGS4;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.740255+02:00;829
BGS4;BGS4-4;BGS4;NOM;Gymnase Becquerel - Vaulx-en-Velin La Soie;Retour;34442;31760;Gymnase Becquerel;Vaulx-en-Velin La Soie;BUS;20240923;;EVE;Evènementielle;True;BGS4;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.740809+02:00;830
28;28-4;28A;NOM;Vaulx-en-Velin La Soie - Meyzieu Z.i.;Retour;31760;31620;Vaulx-en-Velin La Soie;Meyzieu Z.i.;BUS;20190209;;REG;Régulière;True;28;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.617480+02:00;716
89D;89D-2;89E;NOM;Porte de Lyon - Gare de Vaise;Retour;11147;10487;Porte de Lyon;Gare de Vaise-G.Collomb;BUS;20190701;;REG;Régulière;True;89D;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.732964+02:00;736
29;29-4;29A;NOM;RN6 - A. Pare - Meyzieu Z.i.;Retour;10723;31620;R.N.6 - A. Pare;Meyzieu Z.i.;BUS;20180309;;REG;Régulière;True;29;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.619033+02:00;478
30;30-5;30B;ZI;Z.I. Ampere - Chandieu - St Priest Jules Ferry;Aller;34544;31140;Z.I. Ampère - Chandieu;St-Priest Jules Ferry;BUS;20190209;;REG;Régulière;True;30;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.620551+02:00;717
30;30-6;30B;ZI;St Priest Jules Ferry - Z.I. Ampere - Chandieu;Retour;31140;34544;St-Priest Jules Ferry;Z.I. Ampère - Chandieu;BUS;20190209;;REG;Régulière;True;30;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.622927+02:00;721
76;76-2;76A;NOM;Décines Grand Large - Corbas Les Balmes;Retour;31610;31430;Décines Grand Large;Corbas Les Balmes;BUS;20180101;;REG;Régulière;True;76;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.682830+02:00;560
77;77-1;77A;NOM;Montessuy Gutenberg - Pont de Fontaines;Aller;10987;11169;Montessuy Gutenberg;Pont de Fontaines;BUS;20180101;;REG;Régulière;True;77;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.683605+02:00;561
31;31-1;31A;NOM;Perrache - Cite Edouard Herriot;Aller;30977;10249;Perrache;Cité Edouard Herriot;BUS;20180101;;REG;Régulière;True;31;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.624494+02:00;479
31;31-4;31A;NOM;Cite Edouard Herriot - Perrache;Retour;10249;30977;Cité Edouard Herriot;Perrache;BUS;20180101;;REG;Régulière;True;31;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.626204+02:00;481
32;32-1;32A;NOM;Hameau de Bianne - Meyzieu Z.i.;Aller;34335;31620;Hameau de Bianne;Meyzieu Z.i.;BUS;20180309;;REG;Régulière;True;32;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.627560+02:00;483
52E;52E-1;52E;EXP;Vaulx-en-Velin La Soie - Bron Droits de l'Homme;Aller;31760;11674;Vaulx-en-Velin La Soie;Bron Droits de l'Homme;BUS;20230611;;REG;Régulière;False;52E;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.730013+02:00;845
ZI8;ZI8-1;ZI8A;EXP;Esplanade des Arts - La Fouillouse Acacias (50 E);Aller;31160;31431;Esplanade des Arts;La Fouillouse Acacias;BUS;20180101;;REG;Régulière;True;Z I8;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.831298+02:00;675
32;32-2;32A;NOM;Meyzieu Z.i. - Hameau de Bianne;Retour;31620;34335;Meyzieu Z.i.;Hameau de Bianne;BUS;20180309;;REG;Régulière;True;32;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.628216+02:00;484
114;114-1;114;NOM;Gare de Givors Ville - Hopital Lyon Sud;Aller;10565;31682;St-Genis-Laval Hôp. Sud;Gare de Givors Ville;BUS;20211023;;REG;Régulière;False;114;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.714789+02:00;837
35;35-2;35A;NOM;Vénissieux Le Charréard - Bellecour Charité;Retour;11442;10077;Vénissieux Le Charréard;Bellecour Charité;BUS;20180101;;REG;Régulière;True;35;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.631751+02:00;488
34;34-1;34A;NOR;Perrache - Grange Blanche;Aller;30977;10524;Perrache;Grange Blanche;BUS;20231119;;REG;Régulière;True;34;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.630083+02:00;723
120;120-2;120;NOM;Gare de Givors Ville - Perrache;Retour;31682;30977;Gare de Givors Ville;Perrache;BUS;20211023;;REG;Régulière;False;120;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.721034+02:00;842
34;34-2;34A;NOR;Grange Blanche - Perrache;Retour;10524;30977;Grange Blanche;Perrache;BUS;20231119;;REG;Régulière;True;34;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.630617+02:00;724
